# 3.3162e-08 0 1 : grain size, compostion index, size index
# Heating and cooling timescale: 4.20162e+06 0.0278262
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: ISRF
# Scales: 0.25 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9 9.5 10 10.5 11 11.5 12 12.5 13 13.5 14 14.5 15 15.5 16 16.5 17 17.5 18 18.5 19 19.5 20
# StochasticallyHeated: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5 EqEm6 StEm6 EqEm7 StEm7 EqEm8 StEm8 EqEm9 StEm9 EqEm10 StEm10 EqEm11 StEm11 EqEm12 StEm12 EqEm13 StEm13 EqEm14 StEm14 EqEm15 StEm15 EqEm16 StEm16 EqEm17 StEm17 EqEm18 StEm18 EqEm19 StEm19 EqEm20 StEm20 EqEm21 StEm21 EqEm22 StEm22 EqEm23 StEm23 EqEm24 StEm24 EqEm25 StEm25 EqEm26 StEm26 EqEm27 StEm27 EqEm28 StEm28 EqEm29 StEm29 EqEm30 StEm30 EqEm31 StEm31 EqEm32 StEm32 EqEm33 StEm33 EqEm34 StEm34 EqEm35 StEm35 EqEm36 StEm36 EqEm37 StEm37 EqEm38 StEm38 EqEm39 StEm39 EqEm40 StEm40 EqEm41 StEm41
0.05 1.00831e-16 1.0083e-16 1.36327e-21 1.35203e-05 0.000256427 0 3.23834e-37 0 6.47668e-37 0 1.29534e-36 0 1.94301e-36 0 2.59069e-36 0 3.23836e-36 0 3.88604e-36 0 4.53373e-36 0 5.18141e-36 0 5.82909e-36 0 6.47678e-36 0 7.12447e-36 0 7.77216e-36 0 8.41986e-36 0 9.06755e-36 0 9.71525e-36 0 1.03629e-35 0 1.10106e-35 0 1.16583e-35 0 1.23061e-35 0 1.29538e-35 0 1.36015e-35 0 1.42492e-35 0 1.48969e-35 0 1.55446e-35 0 1.61923e-35 0 1.684e-35 0 1.74877e-35 0 1.81355e-35 0 1.87832e-35 0 1.94309e-35 0 2.00786e-35 0 2.07263e-35 0 2.13741e-35 0 2.20218e-35 0 2.26695e-35 0 2.33173e-35 0 2.3965e-35 0 2.46127e-35 0 2.52605e-35 0 2.59082e-35
0.0525665 1.09458e-16 1.09457e-16 1.36262e-21 1.24487e-05 0.000230495 0 6.64259e-36 0 1.32852e-35 0 2.65705e-35 0 3.98558e-35 0 5.31411e-35 0 6.64265e-35 0 7.97119e-35 0 9.29974e-35 0 1.06283e-34 0 1.19569e-34 0 1.32854e-34 0 1.4614e-34 0 1.59425e-34 0 1.72711e-34 0 1.85997e-34 0 1.99283e-34 0 2.12569e-34 0 2.25854e-34 0 2.3914e-34 0 2.52426e-34 0 2.65712e-34 0 2.78998e-34 0 2.92284e-34 0 3.0557e-34 0 3.18856e-34 0 3.32143e-34 0 3.45429e-34 0 3.58715e-34 0 3.72001e-34 0 3.85287e-34 0 3.98574e-34 0 4.1186e-34 0 4.25146e-34 0 4.38433e-34 0 4.51719e-34 0 4.65006e-34 0 4.78292e-34 0 4.91579e-34 0 5.04865e-34 0 5.18152e-34 0 5.31438e-34
0.0552647 1.19025e-16 1.19024e-16 1.36831e-21 1.14959e-05 0.000207025 0 1.17309e-34 0 2.34617e-34 0 4.69236e-34 0 7.03855e-34 0 9.38475e-34 0 1.1731e-33 0 1.40772e-33 0 1.64234e-33 0 1.87696e-33 0 2.11159e-33 0 2.34621e-33 0 2.58084e-33 0 2.81546e-33 0 3.05009e-33 0 3.28472e-33 0 3.51934e-33 0 3.75397e-33 0 3.9886e-33 0 4.22323e-33 0 4.45786e-33 0 4.69249e-33 0 4.92712e-33 0 5.16176e-33 0 5.39639e-33 0 5.63102e-33 0 5.86566e-33 0 6.10029e-33 0 6.33493e-33 0 6.56956e-33 0 6.8042e-33 0 7.03883e-33 0 7.27347e-33 0 7.50811e-33 0 7.74275e-33 0 7.97739e-33 0 8.21203e-33 0 8.44667e-33 0 8.68131e-33 0 8.91595e-33 0 9.15059e-33 0 9.38523e-33
0.0581015 1.29835e-16 1.29833e-16 1.3825e-21 1.06482e-05 0.000185775 0 1.79962e-33 0 3.59924e-33 0 7.19849e-33 0 1.07978e-32 0 1.4397e-32 0 1.79963e-32 0 2.15956e-32 0 2.51949e-32 0 2.87943e-32 0 3.23936e-32 0 3.59929e-32 0 3.95923e-32 0 4.31917e-32 0 4.6791e-32 0 5.03904e-32 0 5.39898e-32 0 5.75892e-32 0 6.11886e-32 0 6.47881e-32 0 6.83875e-32 0 7.19869e-32 0 7.55864e-32 0 7.91858e-32 0 8.27853e-32 0 8.63848e-32 0 8.99843e-32 0 9.35838e-32 0 9.71833e-32 0 1.00783e-31 0 1.04382e-31 0 1.07982e-31 0 1.11581e-31 0 1.15181e-31 0 1.1878e-31 0 1.2238e-31 0 1.2598e-31 0 1.29579e-31 0 1.33179e-31 0 1.36778e-31 0 1.40378e-31 0 1.43978e-31
0.0610839 1.42003e-16 1.42002e-16 1.40607e-21 9.90172e-06 0.000166507 0 2.4143e-32 0 4.82861e-32 0 9.65724e-32 0 1.44859e-31 0 1.93146e-31 0 2.41432e-31 0 2.89719e-31 0 3.38006e-31 0 3.86294e-31 0 4.34581e-31 0 4.82869e-31 0 5.31156e-31 0 5.79444e-31 0 6.27732e-31 0 6.7602e-31 0 7.24308e-31 0 7.72596e-31 0 8.20885e-31 0 8.69174e-31 0 9.17462e-31 0 9.65751e-31 0 1.01404e-30 0 1.06233e-30 0 1.11062e-30 0 1.15891e-30 0 1.2072e-30 0 1.25549e-30 0 1.30378e-30 0 1.35207e-30 0 1.40036e-30 0 1.44865e-30 0 1.49694e-30 0 1.54523e-30 0 1.59352e-30 0 1.64181e-30 0 1.6901e-30 0 1.73839e-30 0 1.78668e-30 0 1.83497e-30 0 1.88326e-30 0 1.93155e-30
0.0642193 1.55831e-16 1.5583e-16 1.44114e-21 9.24812e-06 0.000149035 0 2.85374e-31 0 5.70748e-31 0 1.1415e-30 0 1.71225e-30 0 2.28301e-30 0 2.85376e-30 0 3.42452e-30 0 3.99528e-30 0 4.56604e-30 0 5.1368e-30 0 5.70757e-30 0 6.27833e-30 0 6.8491e-30 0 7.41987e-30 0 7.99064e-30 0 8.56142e-30 0 9.13219e-30 0 9.70297e-30 0 1.02737e-29 0 1.08445e-29 0 1.14153e-29 0 1.19861e-29 0 1.25569e-29 0 1.31277e-29 0 1.36984e-29 0 1.42692e-29 0 1.484e-29 0 1.54108e-29 0 1.59816e-29 0 1.65524e-29 0 1.71232e-29 0 1.7694e-29 0 1.82648e-29 0 1.88356e-29 0 1.94064e-29 0 1.99772e-29 0 2.0548e-29 0 2.11188e-29 0 2.16896e-29 0 2.22604e-29 0 2.28312e-29
0.0675157 1.71494e-16 1.71492e-16 1.48867e-21 8.68059e-06 0.000133188 0 2.98986e-30 0 5.97973e-30 0 1.19595e-29 0 1.79392e-29 0 2.3919e-29 0 2.98988e-29 0 3.58787e-29 0 4.18585e-29 0 4.78384e-29 0 5.38183e-29 0 5.97982e-29 0 6.57781e-29 0 7.1758e-29 0 7.7738e-29 0 8.37179e-29 0 8.96979e-29 0 9.56779e-29 0 1.01658e-28 0 1.07638e-28 0 1.13618e-28 0 1.19598e-28 0 1.25578e-28 0 1.31558e-28 0 1.37538e-28 0 1.43518e-28 0 1.49499e-28 0 1.55479e-28 0 1.61459e-28 0 1.67439e-28 0 1.73419e-28 0 1.79399e-28 0 1.8538e-28 0 1.9136e-28 0 1.9734e-28 0 2.0332e-28 0 2.09301e-28 0 2.15281e-28 0 2.21261e-28 0 2.27241e-28 0 2.33222e-28 0 2.39202e-28
0.0709813 1.88637e-16 1.88635e-16 1.54638e-21 8.19766e-06 0.000118805 0 2.78438e-29 0 5.56876e-29 0 1.11375e-28 0 1.67063e-28 0 2.22752e-28 0 2.7844e-28 0 3.34128e-28 0 3.89817e-28 0 4.45506e-28 0 5.01195e-28 0 5.56884e-28 0 6.12574e-28 0 6.68263e-28 0 7.23953e-28 0 7.79643e-28 0 8.35333e-28 0 8.91023e-28 0 9.46713e-28 0 1.0024e-27 0 1.05809e-27 0 1.11378e-27 0 1.16948e-27 0 1.22517e-27 0 1.28086e-27 0 1.33655e-27 0 1.39224e-27 0 1.44793e-27 0 1.50362e-27 0 1.55931e-27 0 1.61501e-27 0 1.6707e-27 0 1.72639e-27 0 1.78208e-27 0 1.83777e-27 0 1.89347e-27 0 1.94916e-27 0 2.00485e-27 0 2.06055e-27 0 2.11624e-27 0 2.17193e-27 0 2.22762e-27
0.0746248 2.05826e-16 2.05824e-16 1.60437e-21 7.79478e-06 0.000105902 0 2.30101e-28 0 4.60202e-28 0 9.20406e-28 0 1.38061e-27 0 1.84082e-27 0 2.30103e-27 0 2.76124e-27 0 3.22145e-27 0 3.68166e-27 0 4.14187e-27 0 4.60209e-27 0 5.06231e-27 0 5.52252e-27 0 5.98274e-27 0 6.44296e-27 0 6.90318e-27 0 7.36341e-27 0 7.82363e-27 0 8.28385e-27 0 8.74408e-27 0 9.20431e-27 0 9.66454e-27 0 1.01248e-26 0 1.0585e-26 0 1.10452e-26 0 1.15055e-26 0 1.19657e-26 0 1.24259e-26 0 1.28862e-26 0 1.33464e-26 0 1.38066e-26 0 1.42669e-26 0 1.47271e-26 0 1.51874e-26 0 1.56476e-26 0 1.61078e-26 0 1.65681e-26 0 1.70283e-26 0 1.74886e-26 0 1.79488e-26 0 1.84091e-26
0.0784553 2.12223e-16 2.12221e-16 1.54842e-21 7.29623e-06 9.56805e-05 0 1.61649e-27 0 3.23299e-27 0 6.46599e-27 0 9.69901e-27 0 1.2932e-26 0 1.61651e-26 0 1.93981e-26 0 2.26312e-26 0 2.58642e-26 0 2.90973e-26 0 3.23304e-26 0 3.55635e-26 0 3.87966e-26 0 4.20297e-26 0 4.52628e-26 0 4.84959e-26 0 5.1729e-26 0 5.49622e-26 0 5.81953e-26 0 6.14285e-26 0 6.46617e-26 0 6.78948e-26 0 7.1128e-26 0 7.43612e-26 0 7.75944e-26 0 8.08276e-26 0 8.40608e-26 0 8.7294e-26 0 9.05273e-26 0 9.37605e-26 0 9.69937e-26 0 1.00227e-25 0 1.0346e-25 0 1.06693e-25 0 1.09927e-25 0 1.1316e-25 0 1.16393e-25 0 1.19627e-25 0 1.2286e-25 0 1.26093e-25 0 1.29326e-25
