# 4.3758e-08 0 2 : grain size, compostion index, size index
# Heating and cooling timescale: 566645 1.2199
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: ISRF
# Scales: 0.25 0.5 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8 8.5 9 9.5 10 10.5 11 11.5 12 12.5 13 13.5 14 14.5 15 15.5 16 16.5 17 17.5 18 18.5 19 19.5 20
# StochasticallyHeated: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5 EqEm6 StEm6 EqEm7 StEm7 EqEm8 StEm8 EqEm9 StEm9 EqEm10 StEm10 EqEm11 StEm11 EqEm12 StEm12 EqEm13 StEm13 EqEm14 StEm14 EqEm15 StEm15 EqEm16 StEm16 EqEm17 StEm17 EqEm18 StEm18 EqEm19 StEm19 EqEm20 StEm20 EqEm21 StEm21 EqEm22 StEm22 EqEm23 StEm23 EqEm24 StEm24 EqEm25 StEm25 EqEm26 StEm26 EqEm27 StEm27 EqEm28 StEm28 EqEm29 StEm29 EqEm30 StEm30 EqEm31 StEm31 EqEm32 StEm32 EqEm33 StEm33 EqEm34 StEm34 EqEm35 StEm35 EqEm36 StEm36 EqEm37 StEm37 EqEm38 StEm38 EqEm39 StEm39 EqEm40 StEm40 EqEm41 StEm41
0.05 3.56095e-16 3.56072e-16 2.28093e-20 6.4054e-05 0.000418448 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0525665 4.12395e-16 4.1237e-16 2.44539e-20 5.92973e-05 0.000372744 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0552647 4.75876e-16 4.7585e-16 2.61952e-20 5.50462e-05 0.000331921 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0581015 5.59042e-16 5.59014e-16 2.76305e-20 4.94248e-05 0.000295412 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0610839 7.75757e-16 7.75728e-16 2.93728e-20 3.78634e-05 0.000260175 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0642193 9.80398e-16 9.80366e-16 3.27172e-20 3.33713e-05 0.000225026 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0675157 1.17271e-15 1.17267e-15 3.84316e-20 3.27716e-05 0.00018961 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 2.8026e-45 0 4.2039e-45 0 4.2039e-45 0 4.2039e-45 0 4.2039e-45 0 4.2039e-45 0 4.2039e-45 0 5.60519e-45 0 5.60519e-45 0 5.60519e-45 0 5.60519e-45 0 7.00649e-45
0.0709813 1.34738e-15 1.34734e-15 3.96482e-20 2.94262e-05 0.000158967 0 0 0 0 0 0 0 1.4013e-45 0 1.4013e-45 0 2.8026e-45 0 4.2039e-45 0 5.60519e-45 0 8.40779e-45 0 1.12104e-44 0 1.26117e-44 0 1.54143e-44 0 1.82169e-44 0 2.24208e-44 0 2.52234e-44 0 2.94273e-44 0 3.36312e-44 0 3.78351e-44 0 4.2039e-44 0 4.76441e-44 0 5.1848e-44 0 5.74532e-44 0 6.30584e-44 0 7.00649e-44 0 7.70714e-44 0 8.26766e-44 0 8.96831e-44 0 9.66896e-44 0 1.05097e-43 0 1.12104e-43 0 1.20512e-43 0 1.27518e-43 0 1.35926e-43 0 1.45735e-43 0 1.54143e-43 0 1.63952e-43 0 1.7236e-43 0 1.82169e-43 0 1.91978e-43 0 2.03188e-43 0 2.12997e-43
0.0746248 1.25881e-15 1.25878e-15 3.46e-20 2.74862e-05 0.000137131 0 0 0 2.8026e-45 0 1.12104e-44 0 2.66247e-44 0 4.62428e-44 0 7.28675e-44 0 1.06499e-43 0 1.44334e-43 0 1.87774e-43 0 2.42425e-43 0 2.99878e-43 0 3.62936e-43 0 4.316e-43 0 5.05869e-43 0 5.87144e-43 0 6.74025e-43 0 7.67912e-43 0 8.66002e-43 0 9.711e-43 0 1.0818e-42 0 1.19951e-42 0 1.32142e-42 0 1.45034e-42 0 1.6157e-42 0 1.75863e-42 0 1.90857e-42 0 2.06411e-42 0 2.22666e-42 0 2.39482e-42 0 2.56858e-42 0 2.74935e-42 0 2.93572e-42 0 3.1277e-42 0 3.32668e-42 0 3.53127e-42 0 3.74147e-42 0 3.95867e-42 0 4.18147e-42 0 4.40989e-42 0 4.6453e-42 0 4.88633e-42
0.0784553 9.89197e-16 9.8917e-16 2.68289e-20 2.71219e-05 0.000122607 0 1.12104e-44 0 4.48416e-44 0 1.86373e-43 0 4.27396e-43 0 7.59504e-43 0 1.20932e-42 0 1.74181e-42 0 2.371e-42 0 3.09687e-42 0 3.98669e-42 0 4.92276e-42 0 5.95552e-42 0 7.08777e-42 0 8.31951e-42 0 9.64794e-42 0 1.10759e-41 0 1.26019e-41 0 1.4226e-41 0 1.59482e-41 0 1.77699e-41 0 1.96896e-41 0 2.17089e-41 0 2.38249e-41 0 2.64887e-41 0 2.88429e-41 0 3.12966e-41 0 3.38498e-41 0 3.65038e-41 0 3.92588e-41 0 4.21132e-41 0 4.50672e-41 0 4.8122e-41 0 5.12777e-41 0 5.45329e-41 0 5.78876e-41 0 6.13432e-41 0 6.48983e-41 0 6.85543e-41 0 7.23098e-41 0 7.61662e-41 0 8.01234e-41
